Association_Type,From_Concept_Type,From_Concept_ID,From_Concept_Name,To_Concept_Type,To_Concept_ID,To_Concept_Name,Status_of_Marginal,Collection_Method,Link_to_Source,User_ID,User_Name,Date_Published,Prevalence_Population_Size,Prevalence_Number_Of_People,Prevalence_Probability,Incidence_Population_Size,Incidence_Number_Of_People,Incidence_Rate,Risk_Ratio,Odds_Ratio
DISEASE_TO_DISEASE,DISEASE,1a9e7649-9295-4dd9-b88a-6c132a13cc43,Type 2 diabetes mellitus,DISEASE,51e635a1-4937-4098-afa3-372a644185d4,Cholangiocarcinoma of biliary tract,COMPLETE_DEPRECATED_PGM_IMPORT,SOURCE,http://www.bmj.com/content/350/bmj.g7607.long,ffa09e79-e8f7-4e34-bf38-f177c444264f,Devora Lee Vinick,n/a,,,,,,,,
DISEASE_TO_DISEASE,DISEASE,5d41dc5b-d223-47af-b932-128a938762dd,Pneumonia,DISEASE,d56675c1-6ab7-4c64-9f87-beba5f6eeff0,Acute exacerbation of chronic obstructive airways disease,COMPLETED,CLINICAL_JUDGMENT,n/a,7ec78e9d-bff3-4a00-a344-c317ed8a0d15,,2020-03-06 16:01:29.406867+00:00,100000,15000,0.150000000000000,,,,,
DISEASE_TO_DISEASE,DISEASE,4d855d25-9af2-43e6-9d8b-401127a0be42,Benign endometrial polyp,DISEASE,46213dcd-f65d-430a-91e8-64cce1c660fd,Malignant neoplasm of endometrium,COMPLETE_DEPRECATED_PGM_IMPORT,CLINICAL_JUDGMENT,n/a,2c0761ae-5e27-4ce7-9ebd-156588a96809,Dr Prabhat Bakshi,n/a,,,,,,,,
DISEASE_TO_DISEASE,DISEASE,dce71202-9da7-45e0-ac3b-85168ab57c67,Obstructive sleep apnea syndrome,DISEASE,04c65471-3496-497a-a7d2-2c15f8ca0b4c,Persistent sinus bradycardia,NEEDS_REVIEW_PGM,CLINICAL_JUDGMENT,http://www.medscape.com/viewarticle/432578_4,af3123b0-0230-4cb9-8aae-aa5a6d5c8cbf,,n/a,100000,10000,0.100000000000000,,,,,
DISEASE_TO_DISEASE,DISEASE,c258e540-879a-467d-b859-241661480fe7,Secondary hypertension,DISEASE,cd7850d6-9405-470b-9072-972c34fc21d2,Dementia,COMPLETED,CLINICAL_JUDGMENT,n/a,ffa09e79-e8f7-4e34-bf38-f177c444264f,Devora Lee Vinick,2019-12-23 11:20:00.961723+00:00,,,,,,,2.000000000000000,
DISEASE_TO_DISEASE,DISEASE,a091a64d-d446-4927-afae-2a2ae265a4d0,Benign prostatic hyperplasia,DISEASE,63f2e6d2-0028-451a-9484-ff2a540642b2,Urinary bladder stone,COMPLETE_DEPRECATED_PGM_IMPORT,none,n/a,98d08a4c-3fae-49ea-be79-8f75c00fd734,Sophy Jessica Welch,n/a,,,,,,,,
DISEASE_TO_DISEASE,DISEASE,cd7850d6-9405-470b-9072-972c34fc21d2,Dementia,DISEASE,2a6598af-8429-470b-afa8-2df6eb283a06,Delirium,COMPLETE_DEPRECATED_PGM_IMPORT,CLINICAL_JUDGMENT,n/a,ffa09e79-e8f7-4e34-bf38-f177c444264f,Devora Lee Vinick,n/a,,,,,,,,
DISEASE_TO_DISEASE,DISEASE,9166a645-d6c4-4811-86e7-0d5d4d962991,Hyperthyroidism,DISEASE,bfd3c2cf-26eb-4253-8ad0-7945217c6988,Psychotic disorder,COMPLETE_DEPRECATED_PGM_IMPORT,CLINICAL_JUDGMENT,https://patient.info/doctor/hyperthyroidism,108489c0-8dd0-4579-899c-faa378091909,Davinder Sangar,n/a,,,,,,,,
DISEASE_TO_DISEASE,DISEASE,877df43d-80a3-4456-b959-da1af376937e,Osteoporosis,DISEASE,d325948c-a134-4633-8048-c6cbf4608c7a,Fracture of hip,COMPLETED,CLINICAL_JUDGMENT,n/a,ee126177-c6e9-43fb-936e-0d3a11bd4c4b,Aneesha Bakshi,2019-12-23 11:20:00.961723+00:00,100000,2000,0.020000000000000,100000,8000,0.080000000000000,,
DISEASE_TO_DISEASE,DISEASE,301f192f-3eed-48e9-a653-4a8b3585ad54,Zika Virus,DISEASE,10f1091d-1fb4-4de2-a5e9-327f6a095413,Viral conjunctivitis,COMPLETED,CLINICAL_JUDGMENT,n/a,a4a4d5aa-11c3-43c2-90a1-7487ecf00039,Guirong Yang,2020-03-31 16:55:04.027868+00:00,,,,100000,50000,0.500000000000000,,
