Association_Type,From_Concept_Type,From_Concept_ID,From_Concept_Name,To_Concept_Type,To_Concept_ID,To_Concept_Name,Status_of_Marginal,Collection_Method,Link_to_Source,User_ID,User_Name,Date_Published,Prevalence_Population_Size,Prevalence_Number_Of_People,Prevalence_Probability,Incidence_Population_Size,Incidence_Number_Of_People,Incidence_Rate,Risk_Ratio,Odds_Ratio
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,8186b3fd-2e62-4680-819a-facf32a701da,History of alcohol intake above recommended limits (>14 units/week),DISEASE,072b9f38-bb17-4007-8108-e8c0aa89458b,Malignant neoplasm of oropharynx,COMPLETE_DEPRECATED_PGM_IMPORT,CLINICAL_JUDGMENT,n/a,1c55853c-8f86-4e6d-8a98-59ca5e2f66c2,Dr Samira Hassan,n/a,,,,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,ea652d05-da0a-495e-9bf8-fc6186dca6da,Ex-smoker,DISEASE,ab90d057-90db-46fe-b8da-1ccd2268023e,Asthma,COMPLETED,SOURCE,http://erj.ersjournals.com/content/18/3/549,78fea34d-177e-4304-b9b2-bd2ed5f85731,,2019-12-23 11:20:00.961723+00:00,,,,,,,,3.900000000000000
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,5ca7ebe3-e999-427a-b91f-cc8efdaa44e2,Personal history of recurrent urinary tract infections,DISEASE,87840381-b3b7-4965-b8f6-1314a9c72f28,Pyelonephritis,COMPLETED,CLINICAL_JUDGMENT,n/a,f5c85045-0ccf-47ef-b1b8-43aa8e48c0fe,Fabienne Rughooputh,2021-07-20 13:04:19.397724+00:00,1000,1,0.001000000000000,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,90699a02-b743-48f4-a99b-40a7252e2255,Smoker,DISEASE,3fe4ba70-27f2-4e1d-8182-9672fac5f11b,Gastritis,COMPLETED,CLINICAL_JUDGMENT,n/a,d881b373-249f-4251-971b-b5d750596868,Anushree Jagadambe,2021-07-20 14:01:08.629133+00:00,100,9,0.090000000000000,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,4e8cca54-4fbd-4973-a30d-04da9723055e,Autoimmune disease,DISEASE,ea69ed22-ccf2-4816-935a-c2e799210288,Hypothyroidism,COMPLETE_DEPRECATED_PGM_IMPORT,CLINICAL_JUDGMENT,n/a,6e928a6f-56dc-4a68-954b-b0620e991bcd,Michael Albert Taliercio,n/a,,,,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,c4d12d16-3575-44cf-9a7e-901a570c6e1a,Hyperlipidaemia,DISEASE,b56f23b9-8528-486d-ae6d-cc6b992722d6,Presbycusis,COMPLETE_DEPRECATED_PGM_IMPORT,CLINICAL_JUDGMENT,n/a,655f5b4a-cbe3-4bfd-875d-6dfed19e8f21,Daniel Mullarkey,n/a,,,,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,74189f81-1a5d-481c-b2e3-7bdf42fd7814,Alcohol intake above recommended limits (>14 units/week),DISEASE,1c0048b5-fcbc-4e39-a22d-9ce73f7d0542,Chronic hepatic failure,REQUIRES_REVIEW,none,n/a,f5c85045-0ccf-47ef-b1b8-43aa8e48c0fe,Fabienne Rughooputh,n/a,,,,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,5ca7ebe3-e999-427a-b91f-cc8efdaa44e2,Personal history of recurrent urinary tract infections,DISEASE,87840381-b3b7-4965-b8f6-1314a9c72f28,Pyelonephritis,COMPLETED,SOURCE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3722605/,ffa09e79-e8f7-4e34-bf38-f177c444264f,Devora Lee Vinick,2021-07-21 11:59:21.603178+00:00,100,27,0.270000000000000,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,74189f81-1a5d-481c-b2e3-7bdf42fd7814,Alcohol intake above recommended limits (>14 units/week),DISEASE,1da27a36-6d5c-439b-b694-9c77e9a2baad,Male infertility,COMPLETE_DEPRECATED_PGM_IMPORT,CLINICAL_JUDGMENT,n/a,13eb1a46-9da5-4fb6-bceb-42e64e5ac21f,Salman Razzaki,n/a,,,,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,74189f81-1a5d-481c-b2e3-7bdf42fd7814,Alcohol intake above recommended limits (>14 units/week),DISEASE,553edc84-f591-426c-8137-4f0a24d4a081,Bipolar disorder,COMPLETE_DEPRECATED_PGM_IMPORT,CLINICAL_JUDGMENT,n/a,ee126177-c6e9-43fb-936e-0d3a11bd4c4b,Aneesha Bakshi,n/a,,,,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,90699a02-b743-48f4-a99b-40a7252e2255,Smoker,DISEASE,3fe4ba70-27f2-4e1d-8182-9672fac5f11b,Gastritis,COMPLETED,SOURCE,https://pubmed.ncbi.nlm.nih.gov/1797597/,f5c85045-0ccf-47ef-b1b8-43aa8e48c0fe,Fabienne Rughooputh,2021-07-20 13:15:34.960923+00:00,100,50,0.500000000000000,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,90699a02-b743-48f4-a99b-40a7252e2255,Smoker,DISEASE,3fe4ba70-27f2-4e1d-8182-9672fac5f11b,Gastritis,COMPLETED,SOURCE,https://www.karger.com/Article/Fulltext/446300,ffa09e79-e8f7-4e34-bf38-f177c444264f,Devora Lee Vinick,2021-07-21 12:37:32.026088+00:00,100,11,0.110000000000000,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,74189f81-1a5d-481c-b2e3-7bdf42fd7814,Alcohol intake above recommended limits (>14 units/week),DISEASE,1c0048b5-fcbc-4e39-a22d-9ce73f7d0542,Chronic hepatic failure,IN_PROGRESS,SOURCE,https://www.ncbi.nlm.nih.gov/books/NBK546632/,ffa09e79-e8f7-4e34-bf38-f177c444264f,Devora Lee Vinick,n/a,,,,100,6,0.060000000000000,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,662bc8b1-a893-4f4f-a820-130a6f36bea0,History of receptive anal penetration,DISEASE,b020a3ae-ec7e-460f-991f-7f96f1f96176,Anal fissure,COMPLETE_DEPRECATED_PGM_IMPORT,CLINICAL_JUDGMENT,https://www.webmd.com/digestive-disorders/anal-fissure-causes,108489c0-8dd0-4579-899c-faa378091909,Davinder Sangar,n/a,,,,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,4758798f-fc15-4fab-9d76-4f66397c0b09,History of sexually transmitted disease,DISEASE,cfcd1bc2-472d-4919-b381-f99394dd6d0e,Secondary syphilis (Male),COMPLETED,CLINICAL_JUDGMENT,n/a,ab3e9c95-5c45-419a-9901-ba2a5a6269df,Jean Val,2020-01-07 09:43:09.202862+00:00,100000,100000,1.000000000000000,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,436f9ca2-e089-438d-b3b3-9b6aaeaa0918,Stress,DISEASE,ff060345-10fd-440b-a880-a4d09c433f74,Depressive disorder,COMPLETED,SOURCE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4377029/,09068144-6ae8-4d7f-be38-a80ee77c28f2,,2019-12-23 11:20:00.961723+00:00,100000,59000,0.590000000000000,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,5ca7ebe3-e999-427a-b91f-cc8efdaa44e2,Personal history of recurrent urinary tract infections,DISEASE,87840381-b3b7-4965-b8f6-1314a9c72f28,Pyelonephritis,COMPLETED,CLINICAL_JUDGMENT,n/a,d881b373-249f-4251-971b-b5d750596868,Anushree Jagadambe,2021-07-20 13:52:09.199995+00:00,100,40,0.400000000000000,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,e1569dd5-d1fa-4190-a456-8a9bcd29f42b,History of Helicobacter pylori infection,DISEASE,762d2daf-b533-43f0-b247-a2dd76a3fd99,Peptic ulcer,COMPLETED,SOURCE,https://www.cdc.gov/ulcer/files/hpfacts.pdf,af3123b0-0230-4cb9-8aae-aa5a6d5c8cbf,,2019-12-23 11:20:00.961723+00:00,100000,80000,0.800000000000000,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,8293a444-4718-4b32-9f1f-d6f2803f10ce,Unsafe sexual behaviour,DISEASE,d0542984-7a52-4da5-b31f-c6847c2efe0c,Inflammation of cervix,COMPLETE_DEPRECATED_PGM_IMPORT,CLINICAL_JUDGMENT,n/a,108489c0-8dd0-4579-899c-faa378091909,Davinder Sangar,n/a,,,,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,a028d799-fcad-4228-b6f6-f51d0c6cb02f,Contraceptive use without condoms (female),DISEASE,39c5bcc1-dff7-4f6c-a8d6-2f370a776481,Chlamydia (female),COMPLETED,CLINICAL_JUDGMENT,https://www.uptodate.com/contents/prevention-of-sexually-transmitted-infections?source=search_result&search=prevention%20of%20STI&selectedTitle=1~150#H11,dddebc85-a34f-4ee2-896f-6768997651bc,,2019-12-23 11:20:00.961723+00:00,,,,100000,30000,0.300000000000000,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,c919ce3c-9d4b-4853-ae94-a8793cc91d57,Unprotected sexual intercourse (male),DISEASE,ea874b0b-f076-4d3f-8661-26a73cb4c0db,Genital herpes simplex (male),COMPLETE_DEPRECATED_PGM_IMPORT,CLINICAL_JUDGMENT,n/a,8b40b223-4510-40c9-8f5b-c5805624ed32,Janie Baxter,n/a,,,,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,b0217180-e2f9-4ddf-bccb-df9d62a95a3d,Visited rural environment,DISEASE,d0a7acc1-c6f0-4379-9a76-3fe4cf9c24f5,Trichuriasis,COMPLETED,CLINICAL_JUDGMENT,n/a,ab3e9c95-5c45-419a-9901-ba2a5a6269df,Jean Val,2020-01-07 09:47:43.556555+00:00,100000,60000,0.600000000000000,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,90699a02-b743-48f4-a99b-40a7252e2255,Smoker,DISEASE,3d590154-ac88-45aa-b488-3f8a4df0814c,Ischemic stroke,COMPLETED,CLINICAL_JUDGMENT,n/a,fd18b996-9dd6-4765-aa3d-922ffe004731,,2019-12-23 11:20:00.961723+00:00,100000,60000,0.600000000000000,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,e124cdcd-3a75-4058-afc5-85201e092150,Condom and additional contraceptive use (female),DISEASE,785712fa-6b89-48da-a1d3-30dcc5ee47ac,Gonorrhoea (female),COMPLETED,SOURCE,https://www.uptodate.com/contents/prevention-of-sexually-transmitted-infections?source=search_result&search=prevention%20of%20STI&selectedTitle=1~150#H11,dddebc85-a34f-4ee2-896f-6768997651bc,,2019-12-23 11:20:00.961723+00:00,,,,100000,18000,0.180000000000000,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,c63141d3-def0-4994-b042-9e97c0e86adb,History of spinal cord injury,DISEASE,99c3b67d-c2cf-4bba-999a-c7aca1124697,Cauda equina syndrome,COMPLETED,SOURCE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3861993/,09068144-6ae8-4d7f-be38-a80ee77c28f2,,2019-12-23 11:20:00.961723+00:00,100000,10000,0.100000000000000,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,5bff05cb-e08c-481e-ab65-69d59a57a682,Obesity,DISEASE,5597ed2c-5188-4ec7-ad4f-0ac81cd02c13,Malignant neoplasm of pancreas,COMPLETED,CLINICAL_JUDGMENT,n/a,98d08a4c-3fae-49ea-be79-8f75c00fd734,Sophy Jessica Welch,2020-01-21 23:15:55.981111+00:00,100000,40000,0.400000000000000,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,9a58712a-f475-4a63-a2ff-fc6a1bcefca8,Underweight,DISEASE,719a1708-feb5-483a-91f8-c772c8efc1e8,Wernicke's disease,COMPLETED,CLINICAL_JUDGMENT,n/a,09068144-6ae8-4d7f-be38-a80ee77c28f2,,2019-12-23 11:20:00.961723+00:00,100000,50000,0.500000000000000,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,5bff05cb-e08c-481e-ab65-69d59a57a682,Obesity,DISEASE,bd8bdb57-eab4-4b7c-b575-5a96962897f2,Lateral epicondylitis,COMPLETE_DEPRECATED_PGM_IMPORT,CLINICAL_JUDGMENT,n/a,dddebc85-a34f-4ee2-896f-6768997651bc,,n/a,,,,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,5bff05cb-e08c-481e-ab65-69d59a57a682,Obesity,DISEASE,1c0048b5-fcbc-4e39-a22d-9ce73f7d0542,Chronic hepatic failure,COMPLETE_DEPRECATED_PGM_IMPORT,CLINICAL_JUDGMENT,n/a,655f5b4a-cbe3-4bfd-875d-6dfed19e8f21,Daniel Mullarkey,n/a,,,,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,019b0e3a-d932-4694-8014-c4c7615d6191,No contraceptive precautions (female),DISEASE,d0542984-7a52-4da5-b31f-c6847c2efe0c,Inflammation of cervix,COMPLETE_DEPRECATED_PGM_IMPORT,CLINICAL_JUDGMENT,n/a,8b40b223-4510-40c9-8f5b-c5805624ed32,Janie Baxter,n/a,,,,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,fc24f2cd-7ab2-4602-b6ed-1eb612abe117,History of tuberculosis,DISEASE,bb35d64a-598a-4634-a736-b2129eacd65b,Spinal cord compression,COMPLETED,CLINICAL_JUDGMENT,n/a,8a92784d-10ed-4b3a-b898-d2a8db9aad99,Senth Kathirgama Kanthan,2019-12-23 11:20:00.961723+00:00,100000,3000,0.030000000000000,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,90699a02-b743-48f4-a99b-40a7252e2255,Smoker,DISEASE,713f9a15-f6b1-4c6e-a95b-f52eed1965df,Acute pancreatitis,COMPLETE_DEPRECATED_PGM_IMPORT,SOURCE,https://www.jwatch.org/jg201202100000003/2012/02/10/smoking-increases-risk-acute-pancreatitis,108489c0-8dd0-4579-899c-faa378091909,Davinder Sangar,n/a,,,,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,5bff05cb-e08c-481e-ab65-69d59a57a682,Obesity,DISEASE,902f7eec-7f5c-4bf7-bb82-9bb8c4817f7d,Malignant neoplasm of kidney,COMPLETED,CLINICAL_JUDGMENT,n/a,98d08a4c-3fae-49ea-be79-8f75c00fd734,Sophy Jessica Welch,2020-01-21 23:16:40.265373+00:00,100000,60000,0.600000000000000,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,709c13fa-7886-43c3-a5f4-f1e2477dc630,History of kidney stones,DISEASE,7e3d5055-cf57-45f4-b8b0-67c1b026adac,Kidney stone,COMPLETE_DEPRECATED_PGM_IMPORT,CLINICAL_JUDGMENT,n/a,ee126177-c6e9-43fb-936e-0d3a11bd4c4b,Aneesha Bakshi,n/a,,,,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,b2eff773-b876-48cb-b1a2-21c9a363e171,History of anxiety disorder,DISEASE,3e851145-ccb2-4332-85e9-5ace89c5ffc3,Generalized anxiety disorder,COMPLETED,CLINICAL_JUDGMENT,n/a,617ac55f-731e-4420-8beb-9bf30dc3cc52,Clara Joseph,2019-12-23 11:20:00.961723+00:00,100000,35000,0.350000000000000,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,c919ce3c-9d4b-4853-ae94-a8793cc91d57,Unprotected sexual intercourse (male),DISEASE,a569916e-d769-4b31-b31f-e794a2983530,Urethritis,COMPLETE_DEPRECATED_PGM_IMPORT,CLINICAL_JUDGMENT,n/a,dddebc85-a34f-4ee2-896f-6768997651bc,,n/a,,,,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,ac2004d6-41b0-44b6-bc59-f3b2bae06c0a,Family history of blood coagulation disorder,DISEASE,3d590154-ac88-45aa-b488-3f8a4df0814c,Ischemic stroke,COMPLETED,CLINICAL_JUDGMENT,n/a,09068144-6ae8-4d7f-be38-a80ee77c28f2,,2019-12-23 11:20:00.961723+00:00,100000,3000,0.030000000000000,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,a1b98fe5-dcb3-4d56-a1bf-2b8df0bb1324,Recent alcohol excess,DISEASE,30887c5f-f351-4d96-aab3-d70fb1be530b,Acute hepatic failure,COMPLETED,SOURCE,https://www.healthline.com/health/hepatic-failure#causes,20b6e59c-64dd-4ec4-8f33-25806be8f237,Guv Saggu,2021-07-22 15:32:22.592656+00:00,100,45,0.450000000000000,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,a057c129-d09c-4139-9ffe-a55766a08465,History of bypass of stomach,DISEASE,a38ef50d-14d2-4c6c-a9c0-e9f986d3ad67,Small bowel obstruction,COMPLETED,CLINICAL_JUDGMENT,n/a,6e928a6f-56dc-4a68-954b-b0620e991bcd,Michael Albert Taliercio,2019-12-23 11:20:00.961723+00:00,100000,5000,0.050000000000000,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,a1b98fe5-dcb3-4d56-a1bf-2b8df0bb1324,Recent alcohol excess,DISEASE,30887c5f-f351-4d96-aab3-d70fb1be530b,Acute hepatic failure,COMPLETED,SOURCE,"https://bestpractice.bmj.com/topics/en-gb/278/history-exam, https://britishlivertrust.org.uk/information-and-support/living-with-a-liver-condition/liver-conditions/alcohol/",cd7600ad-442a-4cd3-97b8-211f952289a3,Li Li,2021-07-22 22:35:46.814690+00:00,100,10,0.100000000000000,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,cffcd9d0-5155-4a3b-bf10-f53becf7bcaf,Combined oral contraceptive - use,DISEASE,c45160d0-7d68-4632-9692-23867dec9eff,Cervical ectropion,COMPLETED,CLINICAL_JUDGMENT,n/a,8cb0be3c-3fd0-44f8-9111-697536f2fc1b,Dr Misbah Ali,2019-12-23 11:20:00.961723+00:00,100000,50000,0.500000000000000,,,,,
RISK_FACTOR_TO_DISEASE,RISK_FACTOR,5fd9c5b9-1f10-45cc-a7ba-6bf586722db3,Unsafe sanitation,DISEASE,caa3fbaa-c61d-4c8c-bc8f-277cb53d1861,CNS Toxoplasmosis,COMPLETED,CLINICAL_JUDGMENT,n/a,3b907171-28e6-4f12-8fb0-a7a370821264,Lazuardiah Anandi,2020-01-07 09:47:36.725551+00:00,100000,50000,0.500000000000000,,,,,
